manudir,manudir-href,City,Hours
"August","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-august.php","Odessa, Ukraine","302"
"February","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-february.php","Paris, France","79"
"Year","https://www.currentresults.com/Weather/Europe/Cities/sunshine-annual-average.php","Munich, Germany","1709"
"February","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-february.php","Oslo, Norway","76"
"February","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-february.php","Nice, France","171"
"June","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-june.php","Madrid, Spain","310"
"Year","https://www.currentresults.com/Weather/Europe/Cities/sunshine-annual-average.php","Lyon, France","2002"
"April","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-april.php","Prague, Czech Republic","168"
"May","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-may.php","Prague, Czech Republic","214"
"November","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-november.php","Moscow, Russia","32"
"July","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-july.php","Lisbon, Portugal","352"
"February","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-february.php","Lille, France","71"
"August","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-august.php","Prague, Czech Republic","212"
"January","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-january.php","Marseille, France","145"
"July","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-july.php","Nizhny & Novgorod, Russia","264"
"February","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-february.php","Pristina, Kosovo","96"
"December","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-december.php","Pristina, Kosovo","70"
"October","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-october.php","Milan, Italy","130"
"July","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-july.php","Luxembourg, Luxembourg","233"
"June","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-june.php","Luxembourg, Luxembourg","210"
