manudir,manudir-href,Days,City,Milli­metres
"February","https://www.currentresults.com/Weather/Europe/Cities/precipitation-february.php","9","Paris, France","41"
"January","https://www.currentresults.com/Weather/Europe/Cities/precipitation-january.php","6","Nice, France","69"
"April","https://www.currentresults.com/Weather/Europe/Cities/precipitation-april.php","8","Milan, Italy","76"
"September","https://www.currentresults.com/Weather/Europe/Cities/precipitation-september.php","10","Lille, France","62"
"September","https://www.currentresults.com/Weather/Europe/Cities/precipitation-september.php","11","Moscow, Russia","65"
"November","https://www.currentresults.com/Weather/Europe/Cities/precipitation-november.php","7","Monaco, Monaco","104"
"July","https://www.currentresults.com/Weather/Europe/Cities/precipitation-july.php","2","Madrid, Spain","15"
"March","https://www.currentresults.com/Weather/Europe/Cities/precipitation-march.php","11","Munich, Germany","58"
"June","https://www.currentresults.com/Weather/Europe/Cities/precipitation-june.php","9","Nizhny & Novgorod, Russia","63"
"April","https://www.currentresults.com/Weather/Europe/Cities/precipitation-april.php","9","Lisbon, Portugal","65"
"June","https://www.currentresults.com/Weather/Europe/Cities/precipitation-june.php","14","Munich, Germany","128"
"November","https://www.currentresults.com/Weather/Europe/Cities/precipitation-november.php","15","Leeds, United Kingdom","105"
"May","https://www.currentresults.com/Weather/Europe/Cities/precipitation-may.php","11","Luxembourg, Luxembourg","81"
"May","https://www.currentresults.com/Weather/Europe/Cities/precipitation-may.php","7","Lisbon, Portugal","56"
"October","https://www.currentresults.com/Weather/Europe/Cities/precipitation-october.php","8","Podgorica, Montenegro","166"
"January","https://www.currentresults.com/Weather/Europe/Cities/precipitation-january.php","12","Lille, France","61"
"Year","https://www.currentresults.com/Weather/Europe/Cities/precipitation-annual-average.php","68","Odessa, Ukraine","464"
"October","https://www.currentresults.com/Weather/Europe/Cities/precipitation-october.php","4","Odessa, Ukraine","26"
"August","https://www.currentresults.com/Weather/Europe/Cities/precipitation-august.php","8","Paris, France","53"
"June","https://www.currentresults.com/Weather/Europe/Cities/precipitation-june.php","8","Paris, France","50"
"September","https://www.currentresults.com/Weather/Europe/Cities/precipitation-september.php","11","Leeds, United Kingdom","77"
"August","https://www.currentresults.com/Weather/Europe/Cities/precipitation-august.php","7","Milan, Italy","89"
"August","https://www.currentresults.com/Weather/Europe/Cities/precipitation-august.php","12","Manchester, United Kingdom","77"
"June","https://www.currentresults.com/Weather/Europe/Cities/precipitation-june.php","12","Pristina, Kosovo","60"
"December","https://www.currentresults.com/Weather/Europe/Cities/precipitation-december.php","9","Oslo, Norway","55"
"June","https://www.currentresults.com/Weather/Europe/Cities/precipitation-june.php","12","Ljubljana, Slovenia","154"
"November","https://www.currentresults.com/Weather/Europe/Cities/precipitation-november.php","11","London, United Kingdom","58"
"March","https://www.currentresults.com/Weather/Europe/Cities/precipitation-march.php","7","Prague, Czech Republic","28"
"January","https://www.currentresults.com/Weather/Europe/Cities/precipitation-january.php","10","Munich, Germany","48"
"August","https://www.currentresults.com/Weather/Europe/Cities/precipitation-august.php","3","Marseille, France","31"
"April","https://www.currentresults.com/Weather/Europe/Cities/precipitation-april.php","7","Madrid, Spain","47"
"October","https://www.currentresults.com/Weather/Europe/Cities/precipitation-october.php","6","Madrid, Spain","49"
"Year","https://www.currentresults.com/Weather/Europe/Cities/precipitation-annual-average.php","143","Manchester, United Kingdom","829"
"July","https://www.currentresults.com/Weather/Europe/Cities/precipitation-july.php","2","Nice, France","12"
