manudir,manudir-href,Days,City,Milli­metres
"September","https://www.currentresults.com/Weather/Europe/Cities/precipitation-september.php","12","Riga, Latvia","76"
"April","https://www.currentresults.com/Weather/Europe/Cities/precipitation-april.php","8","Vienna, Austria","45"
"August","https://www.currentresults.com/Weather/Europe/Cities/precipitation-august.php","13","Vaduz, Liechtenstein","142"
"July","https://www.currentresults.com/Weather/Europe/Cities/precipitation-july.php","10","Tallinn, Estonia","77"
"March","https://www.currentresults.com/Weather/Europe/Cities/precipitation-march.php","6","Skopje, Macedonia","33"
"May","https://www.currentresults.com/Weather/Europe/Cities/precipitation-may.php","7","Ufa, Russia","38"
"March","https://www.currentresults.com/Weather/Europe/Cities/precipitation-march.php","7","Ufa, Russia","27"
"June","https://www.currentresults.com/Weather/Europe/Cities/precipitation-june.php","10","Rotterdam, Netherlands","65"
"May","https://www.currentresults.com/Weather/Europe/Cities/precipitation-may.php","6","Volgograd, Russia","37"
"January","https://www.currentresults.com/Weather/Europe/Cities/precipitation-january.php","9","Riga, Latvia","33"
"February","https://www.currentresults.com/Weather/Europe/Cities/precipitation-february.php","9","Tallinn, Estonia","34"
"November","https://www.currentresults.com/Weather/Europe/Cities/precipitation-november.php","6","Skopje, Macedonia","52"
"May","https://www.currentresults.com/Weather/Europe/Cities/precipitation-may.php","7","San Marino, San Marino","48"
"December","https://www.currentresults.com/Weather/Europe/Cities/precipitation-december.php","8","Zagreb, Croatia","60"
"December","https://www.currentresults.com/Weather/Europe/Cities/precipitation-december.php","14","Valletta, Malta","112"
"October","https://www.currentresults.com/Weather/Europe/Cities/precipitation-october.php","8","Sarajevo, Bosnia & Herzegovina","77"
"March","https://www.currentresults.com/Weather/Europe/Cities/precipitation-march.php","6","San Marino, San Marino","48"
"Year","https://www.currentresults.com/Weather/Europe/Cities/precipitation-annual-average.php","86","Rostov-on-Don, Russia","595"
"January","https://www.currentresults.com/Weather/Europe/Cities/precipitation-january.php","7","Vienna, Austria","38"
"March","https://www.currentresults.com/Weather/Europe/Cities/precipitation-march.php","9","Vaduz, Liechtenstein","57"
"Year","https://www.currentresults.com/Weather/Europe/Cities/precipitation-annual-average.php","98","Tirana, Albania","1219"
"June","https://www.currentresults.com/Weather/Europe/Cities/precipitation-june.php","13","Vaduz, Liechtenstein","115"
"May","https://www.currentresults.com/Weather/Europe/Cities/precipitation-may.php","5","Samara, Russia","32"
"February","https://www.currentresults.com/Weather/Europe/Cities/precipitation-february.php","7","Vaduz, Liechtenstein","38"
"August","https://www.currentresults.com/Weather/Europe/Cities/precipitation-august.php","4","Volgograd, Russia","37"
"March","https://www.currentresults.com/Weather/Europe/Cities/precipitation-march.php","9","Tallinn, Estonia","35"
"August","https://www.currentresults.com/Weather/Europe/Cities/precipitation-august.php","3","Rome, Italy","34"
"May","https://www.currentresults.com/Weather/Europe/Cities/precipitation-may.php","7","Saint Petersburg, Russia","38"
"April","https://www.currentresults.com/Weather/Europe/Cities/precipitation-april.php","8","Tallinn, Estonia","36"
